gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0.36621094,-2.5634766,-2.319336,-0.06823475,-0.06344634,-9.836577
0.4272461,-2.6855469,-2.2583008,-0.06584055,-0.061052144,-9.8437605
0.30517578,-2.6245117,-2.380371,-0.061052144,-0.053869538,-9.838972
0.30517578,-2.6245117,-2.380371,-0.06464344,-0.062249243,-9.848549
0.36621094,-2.746582,-2.319336,-0.061052144,-0.053869538,-9.828198
0.30517578,-2.6855469,-2.380371,-0.06823475,-0.059855044,-9.836577
0.36621094,-2.6245117,-2.319336,-0.061052144,-0.062249243,-9.847352
0.24414062,-2.5024414,-2.380371,-0.05746084,-0.05267244,-9.832987
0.30517578,-2.6855469,-2.319336,-0.06344634,-0.05865794,-9.8437605
0.36621094,-2.6855469,-2.380371,-0.074220255,-0.06584055,-9.840169
0.4272461,-2.6855469,-2.380371,-0.06584055,-0.06344634,-9.844957
0.36621094,-2.746582,-2.319336,-0.062249243,-0.05267244,-9.835381
0.36621094,-2.6855469,-2.380371,-0.06584055,-0.05865794,-9.842564
0.36621094,-2.6855469,-2.380371,-0.06464344,-0.06344634,-9.831789
0.36621094,-2.6245117,-2.380371,-0.05746084,-0.05865794,-9.840169
0.36621094,-2.6245117,-2.380371,-0.06943185,-0.05865794,-9.8437605
0.48828125,-2.746582,-2.319336,-0.06943185,-0.047884032,-9.822212
0.4272461,-2.6245117,-2.380371,-0.06344634,-0.055066638,-9.838972
0.30517578,-2.6245117,-2.4414062,-0.06584055,-0.053869538,-9.827001
0.4272461,-2.6855469,-2.380371,-0.06344634,-0.06344634,-9.8437605
0.4272461,-2.746582,-2.319336,-0.061052144,-0.053869538,-9.837775
0.36621094,-2.6855469,-2.319336,-0.06344634,-0.05746084,-9.841366
0.30517578,-2.5634766,-2.380371,-0.07062895,-0.06943185,-9.849746
0.36621094,-2.6855469,-2.380371,-0.06703765,-0.073023155,-9.849746
0.36621094,-2.746582,-2.380371,-0.06464344,-0.06943185,-9.846154
0.4272461,-2.6245117,-2.380371,-0.05746084,-0.05865794,-9.836577
0.4272461,-2.6855469,-2.380371,-0.05746084,-0.059855044,-9.848549
0.4272461,-2.746582,-2.319336,-0.05865794,-0.055066638,-9.835381
0.36621094,-2.6245117,-2.380371,-0.05746084,-0.062249243,-9.838972
0.4272461,-2.5634766,-2.380371,-0.061052144,-0.05626374,-9.8437605
0.4272461,-2.6855469,-2.319336,-0.074220255,-0.05865794,-9.822212
0.4272461,-2.6245117,-2.319336,-0.062249243,-0.05865794,-9.835381
0.36621094,-2.6855469,-2.4414062,-0.06464344,-0.06464344,-9.846154
0.4272461,-2.6855469,-2.380371,-0.06943185,-0.08140286,-9.842564
0.36621094,-2.6855469,-2.380371,-0.05626374,-0.06584055,-9.846154
0.30517578,-2.746582,-2.2583008,-0.059855044,-0.06344634,-9.842564
0.24414062,-2.746582,-2.319336,-0.075417355,-0.061052144,-9.837775
0.36621094,-2.746582,-2.319336,-0.055066638,-0.055066638,-9.825804
0.4272461,-2.6855469,-2.4414062,-0.061052144,-0.06344634,-9.846154
